case_id,compat_group,scene_type,content,style,semantic_match,layout_match,directional_match,rigidity_level,expected_failure,prompt
clean_kulhanek_G1_water_lake,G1,natural_landscape,data/raw/photo_ref/photo_water_lake_and_boat.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,medium,low,clean_cross_style_probe,"a lake with boat and open water, preserve horizon and water surface, clean watercolor-like color and architectural illustration texture"
clean_kulhanek_G1_forest,G1,vegetation,data/raw/photo_ref/photo_forest_trees.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,medium,medium,clean_cross_style_probe,"a forest scene with preserved path, trunks, and depth, clean watercolor color and crisp illustrative texture"
clean_kulhanek_G1_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,medium,medium,medium,high,clean_architecture_style,"a church scene with preserved roof geometry, facade layout, and clean watercolor architectural texture"
clean_kulhanek_G2_opposite_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,low,medium,clean_cross_style_probe,"an ocean wave scene with preserved wave direction and water motion, clean watercolor color and line texture"
clean_kulhanek_G3_flower_bed,G3,vegetation,data/raw/photo_ref/photo_flower_bed.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,medium,medium,clean_cross_style_probe,"a flower bed scene with preserved flower-bed viewpoint, clean watercolor color and illustrative brushwork"
clean_kulhanek_G4_city_mismatch,G4,city_architecture,data/raw/photo_ref/photo_seregei_street.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,medium,low,medium,high,clean_perspective_pressure,"a city scene with preserved street layout and skyline, clean watercolor urban brushwork and atmosphere"
clean_kulhanek_G4_sea_cliff_wave,G4,water_coast,data/raw/photo_ref/photo_sea_coast.jpg,data/raw/kulhanek/kulhanek_e18th_street_1956.jpg,low,low,low,high,clean_cross_style_probe,"a sea cliff coast scene with preserved cliff mass and shoreline, clean watercolor color and line texture"
clean_demuth_G1_water_lake,G1,natural_landscape,data/raw/photo_ref/photo_water_lake_and_boat.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,medium,low,geometric_pressure_probe,"a lake with boat and open water, preserve horizon and water surface, precisionist geometric color blocks and clean edges"
clean_demuth_G1_forest,G1,vegetation,data/raw/photo_ref/photo_forest_trees.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,medium,medium,geometric_pressure_probe,"a forest scene with preserved path, trunks, and depth, precisionist geometric color blocks and clean edges"
clean_demuth_G1_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,medium,medium,medium,high,geometric_architecture_pressure,"a church scene with preserved roof geometry, facade layout, precisionist geometry and clean color planes"
clean_demuth_G2_opposite_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,low,medium,geometric_pressure_probe,"an ocean wave scene with preserved wave direction and water motion, precisionist geometry and clean color planes"
clean_demuth_G3_flower_bed,G3,vegetation,data/raw/photo_ref/photo_flower_bed.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,medium,medium,geometric_path_pressure,"a flower bed scene with preserved flower-bed viewpoint, precisionist color planes and geometric simplification"
clean_demuth_G4_city_mismatch,G4,city_architecture,data/raw/photo_ref/photo_seregei_street.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,medium,low,medium,high,geometric_perspective_pressure,"a city scene with preserved street layout and skyline, precisionist urban geometry and clean color planes"
clean_demuth_G4_sea_cliff_wave,G4,water_coast,data/raw/photo_ref/photo_sea_coast.jpg,data/raw/demuth/demuth_lancaster_1921.jpg,low,low,low,high,geometric_takeover_probe,"a sea cliff coast scene with preserved cliff mass and shoreline, precisionist geometry and clean color planes"
clean_peixotto_G1_water_lake,G1,natural_landscape,data/raw/photo_ref/photo_water_lake_and_boat.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,low,low,medium,low,linework_pressure_probe,"a lake with boat and open water, preserve horizon and water surface, black and white ink linework and tonal hatching"
clean_peixotto_G1_forest,G1,vegetation,data/raw/photo_ref/photo_forest_trees.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,low,low,medium,medium,linework_pressure_probe,"a forest scene with preserved path, trunks, and depth, black and white ink linework and tonal hatching"
clean_peixotto_G1_church,G1,city_architecture,data/raw/photo_ref/photo_lecreusois_church.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,medium,medium,medium,high,linework_architecture_pressure,"a church scene with preserved roof geometry, facade layout, black and white architectural linework"
clean_peixotto_G2_opposite_wave,G2,water_coast,data/raw/photo_ref/photo_sea_wave.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,low,low,low,medium,linework_pressure_probe,"an ocean wave scene with preserved wave direction and water motion, black and white ink linework and tonal hatching"
clean_peixotto_G3_flower_bed,G3,vegetation,data/raw/photo_ref/photo_flower_bed.jpg,data/raw/peixotto/peixotto_princeton_1897.jpg,low,low,medium,medium,linework_path_pressure,"a flower bed scene with preserved flower-bed viewpoint, black and white ink linework and tonal hatching"
